	RP set					NM set					HS set					   Toxin response set			
	k	n	K	N		k	n	K	N		k	n	K	N		k	n	K	N
	Disrupted	Total with values	Total disrupted	Total with values		Disrupted	Total with values	Total disrupted	Total with values		Disrupted	Total with values	Total disrupted	Total with values		Disrupted	Total with values	Total disrupted	Total with values
ada2-del vs. wt	13	20	66	122		6	8	62	86		1	3	7	18		1	2	17	22
ahc1-del vs. wt	1	20	4	122		0	8	7	86		0	3	1	18		0	2	3	22
arp5-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
arp6-del vs. wt	1	20	9	122		5	8	30	86		1	3	4	18		1	2	11	22
arp8-del vs. wt	7	20	41	122		7	8	61	86		2	3	9	18		2	2	14	22
asf1-del vs. wt	6	20	33	122		3	8	55	86		3	3	12	18		2	2	17	22
ash1-del vs. wt	0	20	1	122		1	8	12	86		0	3	0	18		0	2	4	22
bre1-del vs. wt	4	20	32	122		8	8	56	86		2	3	9	18		2	2	16	22
bre2-del-matA vs. wt-matA	3	20	9	122		6	8	46	86		1	3	4	18		0	2	8	22
btt1-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
bur2-del vs. wt	12	20	78	122		8	8	69	86		3	3	15	18		2	2	19	22
cac1-del vs. wt	2	20	23	122		3	8	31	86		3	3	8	18		1	2	10	22
cac2-del vs. wt	4	20	22	122		7	8	44	86		3	3	13	18		2	2	14	22
caf130-del vs. wt	0	20	2	122		0	8	7	86		2	3	6	18		0	2	4	22
caf16-del vs. wt	0	20	0	122		0	8	1	86		0	3	0	18		0	2	0	22
caf4-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
caf40-del vs. wt	0	20	3	122		3	8	32	86		2	3	4	18		0	2	3	22
ccr4-del vs. wt	4	20	19	122		6	8	63	86		2	3	12	18		2	2	18	22
cdc73-del vs. wt	10	20	53	122		5	8	61	86		2	3	13	18		1	2	13	22
chd1-del vs. wt	4	20	15	122		1	8	23	86		0	3	3	18		1	2	5	22
chz1-del vs. wt	0	20	2	122		1	8	11	86		0	3	1	18		0	2	3	22
cpr1-del vs. wt	0	20	0	122		0	8	5	86		0	3	0	18		0	2	2	22
cti6-del vs. wt	1	20	9	122		6	8	54	86		2	3	8	18		2	2	15	22
ctr9-del vs. wt	16	20	91	122		5	8	65	86		3	3	15	18		2	2	17	22
dep1-del vs. wt	4	20	35	122		3	8	55	86		1	3	8	18		2	2	20	22
dls1-del vs. wt	2	20	7	122		3	8	33	86		1	3	3	18		0	2	7	22
dot1-del vs. wt	0	20	1	122		0	8	0	86		0	3	0	18		0	2	0	22
dot6-del vs. wt	0	20	1	122		1	8	5	86		0	3	0	18		0	2	0	22
dpb4-del vs. wt	0	20	4	122		5	8	36	86		0	3	2	18		1	2	9	22
eaf1-del vs. wt	11	20	60	122		4	8	60	86		2	3	13	18		1	2	14	22
eaf3-del vs. wt	0	20	4	122		4	8	21	86		1	3	2	18		0	2	10	22
eaf5-del vs. wt	2	20	11	122		3	8	38	86		1	3	9	18		2	2	14	22
eaf6-del vs. wt	0	20	7	122		1	8	24	86		1	3	4	18		2	2	10	22
eaf7-del vs. wt	5	20	24	122		4	8	46	86		3	3	10	18		2	2	16	22
ecm5-del vs. wt	0	20	1	122		0	8	0	86		0	3	0	18		0	2	0	22
esc8-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
gcn5-del vs. wt	10	20	57	122		4	8	54	86		1	3	4	18		0	2	11	22
hat1-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
hat2-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
hda1-del vs. wt	0	20	3	122		2	8	20	86		0	3	2	18		0	2	8	22
hda2-del vs. wt	1	20	10	122		1	8	25	86		1	3	5	18		2	2	13	22
hda3-del vs. wt	0	20	3	122		3	8	27	86		0	3	6	18		0	2	7	22
hfi1-del-matA vs. wt-matA	10	20	58	122		1	8	63	86		2	3	10	18		1	2	17	22
hhf2-del vs. wt	0	20	1	122		0	8	2	86		0	3	0	18		0	2	0	22
hif1-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
hir1-del vs. wt	4	20	13	122		1	8	11	86		0	3	2	18		0	2	7	22
hir2-del vs. wt	0	20	1	122		0	8	10	86		0	3	0	18		0	2	5	22
hir3-del vs. wt	0	20	2	122		0	8	11	86		0	3	2	18		0	2	4	22
hmt1-del vs. wt	0	20	1	122		1	8	5	86		0	3	0	18		0	2	4	22
hos1-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
hos2-del vs. wt	2	20	14	122		0	8	26	86		0	3	3	18		2	2	13	22
hos4-del vs. wt	0	20	6	122		1	8	12	86		0	3	3	18		2	2	6	22
hpc2-del vs. wt	1	20	7	122		1	8	25	86		3	3	6	18		0	2	9	22
hst1-del vs. wt	0	20	6	122		2	8	11	86		1	3	2	18		0	2	5	22
htl1-del vs. wt	4	20	24	122		2	8	46	86		3	3	9	18		1	2	13	22
htz1-del vs. wt	1	20	8	122		3	8	35	86		1	3	5	18		2	2	13	22
ies1-del vs. wt	0	20	4	122		5	8	24	86		0	3	1	18		0	2	5	22
ies2-del vs. wt	9	20	48	122		4	8	46	86		3	3	10	18		0	2	9	22
ies3-del vs. wt	4	20	23	122		5	8	50	86		2	3	5	18		1	2	10	22
ies4-del vs. wt	1	20	2	122		2	8	14	86		1	3	4	18		0	2	3	22
ies5-del vs. wt	1	20	2	122		5	8	26	86		2	3	5	18		1	2	9	22
ies6-del vs. wt	11	20	73	122		8	8	67	86		2	3	11	18		2	2	20	22
ioc2-del vs. wt	1	20	3	122		0	8	14	86		0	3	0	18		2	2	8	22
ioc3-del vs. wt	0	20	0	122		0	8	2	86		0	3	0	18		0	2	1	22
ioc4-del vs. wt	0	20	2	122		0	8	15	86		0	3	3	18		1	2	7	22
isw1-del vs. wt	1	20	3	122		0	8	13	86		0	3	0	18		1	2	8	22
isw2-del vs. wt	0	20	6	122		2	8	30	86		1	3	2	18		2	2	10	22
itc1-del vs. wt	2	20	16	122		3	8	31	86		1	3	3	18		2	2	15	22
jhd1-del vs. wt	0	20	1	122		0	8	2	86		0	3	0	18		0	2	0	22
jhd2-del vs. wt	0	20	0	122		0	8	4	86		0	3	1	18		0	2	3	22
ldb7-del vs. wt	2	20	12	122		4	8	37	86		1	3	4	18		1	2	14	22
leo1-del vs. wt	0	20	5	122		4	8	51	86		2	3	9	18		2	2	13	22
lge1-del vs. wt	7	20	46	122		7	8	52	86		2	3	9	18		2	2	15	22
med1-del vs. wt	3	20	13	122		4	8	46	86		2	3	8	18		2	2	14	22
med15-del vs. wt	14	20	70	122		7	8	67	86		2	3	11	18		1	2	16	22
med16-del vs. wt	5	20	12	122		5	8	55	86		2	3	8	18		2	2	14	22
med18-del vs. wt	5	20	36	122		5	8	51	86		3	3	12	18		2	2	19	22
med2-del vs. wt	8	20	48	122		5	8	54	86		2	3	11	18		1	2	15	22
med20-del vs. wt	10	20	50	122		6	8	60	86		3	3	14	18		1	2	15	22
med3-del vs. wt	10	20	45	122		5	8	47	86		1	3	8	18		0	2	11	22
med31-del vs. wt	3	20	17	122		3	8	46	86		2	3	12	18		0	2	12	22
med5-del vs. wt	1	20	5	122		0	8	22	86		1	3	2	18		0	2	8	22
med9-del vs. wt	6	20	24	122		3	8	49	86		1	3	5	18		2	2	15	22
msi1-del vs. wt	4	20	15	122		2	8	14	86		0	3	2	18		2	2	9	22
nap1-del vs. wt	0	20	1	122		0	8	1	86		0	3	0	18		0	2	1	22
ngg1-del vs. wt	13	20	56	122		5	8	48	86		2	3	7	18		1	2	13	22
nhp10-del vs. wt	2	20	7	122		5	8	30	86		1	3	4	18		1	2	12	22
nhp6a-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
nhp6b-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	1	22
not3-del vs. wt	0	20	6	122		2	8	31	86		0	3	5	18		2	2	9	22
not4-del vs. wt	13	20	75	122		3	8	63	86		2	3	9	18		1	2	16	22
npl6-del vs. wt	9	20	45	122		8	8	78	86		2	3	13	18		2	2	17	22
nto1-del vs. wt	0	20	4	122		0	8	4	86		1	3	1	18		2	2	6	22
paf1-del vs. wt	15	20	85	122		6	8	62	86		2	3	13	18		2	2	15	22
pho23-del vs. wt	2	20	24	122		4	8	48	86		2	3	9	18		2	2	21	22
rad6-del vs. wt	9	20	56	122		6	8	58	86		2	3	11	18		1	2	15	22
rco1-del vs. wt	2	20	13	122		4	8	29	86		2	3	3	18		0	2	9	22
rfm1-del vs. wt	1	20	5	122		1	8	31	86		0	3	1	18		0	2	8	22
rpd3-del vs. wt	4	20	17	122		5	8	52	86		3	3	10	18		2	2	19	22
rph1-del vs. wt	1	20	2	122		0	8	8	86		0	3	0	18		0	2	2	22
rsc1-del vs. wt	7	20	39	122		6	8	51	86		1	3	11	18		0	2	12	22
rsc2-del vs. wt	13	20	69	122		6	8	59	86		3	3	11	18		0	2	17	22
rsc30-del vs. wt	3	20	23	122		5	8	39	86		1	3	10	18		0	2	8	22
rtf1-del vs. wt	8	20	48	122		8	8	65	86		2	3	13	18		2	2	17	22
rtg2-del vs. wt	1	20	3	122		4	8	53	86		0	3	2	18		1	2	7	22
rtt102-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
rtt106-del vs. wt	7	20	30	122		1	8	37	86		1	3	8	18		1	2	12	22
rtt109-del vs. wt	15	20	62	122		6	8	46	86		2	3	12	18		0	2	11	22
rxt2-del vs. wt	4	20	23	122		5	8	52	86		1	3	8	18		2	2	20	22
rxt3-del vs. wt	4	20	30	122		5	8	41	86		2	3	4	18		0	2	11	22
sap30-del vs. wt	4	20	30	122		3	8	53	86		1	3	9	18		2	2	22	22
sas2-del vs. wt	1	20	1	122		0	8	7	86		0	3	0	18		1	2	10	22
sas3-del vs. wt	2	20	2	122		0	8	7	86		0	3	0	18		1	2	2	22
sas4-del vs. wt	0	20	2	122		0	8	11	86		1	3	3	18		2	2	9	22
sas5-del vs. wt	0	20	0	122		0	8	12	86		0	3	1	18		2	2	9	22
sdc1-del-matA vs. wt-matA	5	20	13	122		2	8	25	86		1	3	4	18		0	2	9	22
sds3-del vs. wt	3	20	29	122		4	8	59	86		1	3	12	18		2	2	19	22
set1-del-matA vs. wt-matA	1	20	10	122		4	8	26	86		1	3	5	18		0	2	8	22
set2-del vs. wt	3	20	7	122		6	8	33	86		2	3	4	18		0	2	13	22
set3-del vs. wt	4	20	34	122		0	8	34	86		1	3	6	18		2	2	12	22
sgf11-del vs. wt	0	20	7	122		2	8	29	86		0	3	2	18		2	2	9	22
sgf29-del vs. wt	4	20	14	122		5	8	59	86		0	3	5	18		0	2	9	22
sgf73-del vs. wt	4	20	24	122		3	8	38	86		1	3	6	18		1	2	12	22
shg1-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
sif2-del vs. wt	3	20	10	122		0	8	27	86		1	3	6	18		2	2	10	22
sin3-del vs. wt	4	20	32	122		4	8	59	86		3	3	13	18		2	2	18	22
sir1-del vs. wt	1	20	2	122		0	8	3	86		0	3	1	18		0	2	1	22
sir2-del vs. wt	0	20	2	122		1	8	12	86		1	3	3	18		1	2	3	22
sir3-del vs. wt	4	20	15	122		0	8	8	86		1	3	1	18		0	2	4	22
sir4-del vs. wt	1	20	4	122		0	8	7	86		1	3	3	18		0	2	4	22
snf11-del vs. wt	0	20	11	122		1	8	17	86		1	3	2	18		1	2	7	22
snf12-del vs. wt	6	20	30	122		2	8	55	86		2	3	13	18		2	2	16	22
snf2-del vs. wt	5	20	42	122		4	8	56	86		2	3	11	18		2	2	16	22
snf5-del vs. wt	11	20	64	122		6	8	66	86		1	3	9	18		1	2	18	22
snf6-del vs. wt	3	20	14	122		2	8	42	86		1	3	8	18		2	2	14	22
snt1-del vs. wt	7	20	27	122		2	8	43	86		0	3	5	18		2	2	16	22
spp1-del-matA vs. wt-matA	1	20	7	122		1	8	14	86		0	3	3	18		0	2	5	22
spt20-del vs. wt	14	20	79	122		2	8	67	86		1	3	10	18		1	2	14	22
spt3-del vs. wt	5	20	22	122		6	8	49	86		2	3	12	18		2	2	18	22
spt7-del vs. wt	11	20	76	122		6	8	66	86		2	3	12	18		1	2	13	22
spt8-del vs. wt	2	20	12	122		5	8	40	86		1	3	7	18		2	2	16	22
ssn6-del vs. wt	11	20	83	122		4	8	69	86		2	3	14	18		2	2	19	22
stb2-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
sum1-del vs. wt	0	20	1	122		0	8	26	86		0	3	0	18		0	2	6	22
sus1-del vs. wt	6	20	28	122		2	8	34	86		2	3	7	18		1	2	10	22
swc3-del vs. wt	0	20	2	122		2	8	25	86		0	3	0	18		1	2	7	22
swc5-del vs. wt	4	20	21	122		3	8	33	86		1	3	6	18		2	2	11	22
swc7-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	0	22
swd1-del-matA vs. wt-matA	2	20	14	122		3	8	35	86		1	3	4	18		0	2	11	22
swd3-del-matA vs. wt-matA	6	20	20	122		4	8	44	86		2	3	10	18		1	2	14	22
swi3-del vs. wt	3	20	30	122		6	8	57	86		2	3	10	18		2	2	19	22
swp82-del vs. wt	0	20	0	122		0	8	0	86		0	3	0	18		0	2	2	22
swr1-del vs. wt	2	20	8	122		4	8	23	86		0	3	1	18		2	2	10	22
tod6-del vs. wt	1	20	3	122		0	8	2	86		0	3	1	18		0	2	1	22
tos4-del vs. wt	0	20	0	122		0	8	1	86		0	3	1	18		0	2	0	22
tup1-del vs. wt	9	20	40	122		6	8	52	86		2	3	12	18		1	2	15	22
ubp8-del vs. wt	0	20	1	122		0	8	23	86		0	3	2	18		0	2	6	22
ume1-del vs. wt	1	20	2	122		0	8	24	86		1	3	4	18		2	2	12	22
vps71-del vs. wt	5	20	19	122		4	8	37	86		2	3	4	18		2	2	15	22
vps72-del vs. wt	1	20	11	122		2	8	28	86		2	3	5	18		2	2	14	22
vps75-del vs. wt	1	20	14	122		0	8	3	86		0	3	2	18		0	2	2	22
wt-matA vs. wt	0	20	0	122		1	8	9	86		0	3	0	18		0	2	1	22
wt-ypd vs. wt	1	20	6	122		2	8	33	86		0	3	3	18		1		13	22
yaf9-del vs. wt	4	20	27	122		4	8	46	86		1	3	4	18		2		15	22
yku70-del vs. wt	0	20	0	122		0	8	8	86		0	3	0	18		0		2	22
yku80-del vs. wt	0	20	1	122		0	8	7	86		0	3	0	18		0		1	22
yng1-del-matA vs. wt-matA	5	20	5	122		0	8	11	86		0	3	0	18		0		3	22
